Date,Open,High,Low,Close,Adj Close,Volume
1996-07-26,7.750000,7.750000,7.729167,7.729167,4.498974,81000
1996-07-29,7.791667,7.833333,7.770833,7.833333,4.559608,78600
1996-07-30,7.791667,7.875000,7.791667,7.875000,4.583861,67800
1996-07-31,7.916667,8.000000,7.916667,8.000000,4.656620,15000
1996-08-01,8.041667,8.250000,8.041667,8.229167,4.790014,54000
1996-08-02,8.270833,8.458333,8.270833,8.395833,4.887027,54600
1996-08-05,8.437500,8.458333,8.416667,8.458333,4.923403,14400
1996-08-06,8.437500,8.437500,8.187500,8.270833,4.814265,129000
1996-08-07,8.312500,8.375000,8.312500,8.375000,4.874897,55200
1996-08-08,8.375000,8.458333,8.375000,8.437500,4.911279,33600
1996-08-09,8.395833,8.437500,8.354167,8.354167,4.862774,45000
1996-08-12,8.416667,8.458333,8.395833,8.458333,4.923403,61800
1996-08-13,8.458333,8.458333,8.437500,8.458333,4.923403,39600
1996-08-14,8.416667,8.416667,8.333333,8.333333,4.850644,174000
1996-08-15,8.375000,8.375000,8.333333,8.333333,4.850644,51600
1996-08-16,8.354167,8.354167,8.270833,8.291667,4.826394,38400
1996-08-19,8.291667,8.291667,8.208333,8.208333,4.777885,41400
1996-08-20,8.250000,8.291667,8.250000,8.291667,4.826394,18000
1996-08-21,8.312500,8.312500,8.270833,8.291667,4.826394,19800
1996-08-22,8.312500,8.312500,8.270833,8.270833,4.814265,78600
1996-08-23,8.270833,8.270833,8.166667,8.229167,4.790014,118200
1996-08-26,8.270833,8.291667,8.208333,8.291667,4.826394,40800
1996-08-27,8.291667,8.291667,8.270833,8.291667,4.826394,13200
1996-08-28,8.166667,8.291667,8.166667,8.291667,4.870447,19200
1996-08-29,8.291667,8.291667,8.250000,8.270833,4.858208,12600
1996-08-30,8.270833,8.270833,8.250000,8.270833,4.858208,12000
1996-09-03,8.270833,8.291667,8.250000,8.270833,4.858208,16200
1996-09-04,8.270833,8.291667,8.229167,8.250000,4.845972,39600
1996-09-05,8.291667,8.333333,8.291667,8.291667,4.870447,69000
1996-09-06,8.291667,8.312500,8.291667,8.291667,4.870447,11400
1996-09-09,8.312500,8.312500,8.291667,8.312500,4.882682,24600
1996-09-10,8.312500,8.333333,8.291667,8.312500,4.882682,35400
1996-09-11,8.333333,8.333333,8.312500,8.333333,4.894921,38400
1996-09-12,8.333333,8.333333,8.291667,8.291667,4.870447,19800
1996-09-13,8.270833,8.291667,8.208333,8.208333,4.821497,51000
1996-09-16,8.250000,8.312500,8.250000,8.312500,4.882682,42000
1996-09-17,8.291667,8.312500,8.291667,8.312500,4.882682,18600
1996-09-18,8.291667,8.333333,8.291667,8.333333,4.894921,43800
1996-09-19,8.291667,8.312500,8.291667,8.291667,4.870447,27600
1996-09-20,8.291667,8.312500,8.291667,8.312500,4.882682,24600
1996-09-23,8.333333,8.333333,8.291667,8.291667,4.870447,22800
1996-09-24,8.312500,8.312500,8.291667,8.312500,4.882682,15600
1996-09-25,8.312500,8.312500,8.291667,8.312500,4.882682,6600
1996-09-26,8.312500,8.312500,8.250000,8.291667,4.870447,27600
1996-09-27,8.291667,8.291667,8.270833,8.291667,4.870447,5400
1996-09-30,8.312500,8.312500,8.291667,8.291667,4.870447,54000
1996-10-01,8.312500,8.312500,8.291667,8.291667,4.870447,27000
1996-10-02,8.312500,8.312500,8.291667,8.312500,4.882682,69600
1996-10-03,8.270833,8.333333,8.270833,8.333333,4.894921,55800
1996-10-04,8.333333,8.333333,8.291667,8.291667,4.870447,49200
1996-10-07,8.312500,8.333333,8.291667,8.312500,4.882682,54600
1996-10-08,8.312500,8.312500,8.312500,8.312500,4.882682,12000
1996-10-09,8.312500,8.312500,8.291667,8.312500,4.882682,18600
1996-10-10,8.312500,8.375000,8.291667,8.333333,4.894921,264600
1996-10-11,8.333333,8.333333,8.291667,8.333333,4.894921,578400
1996-10-14,8.375000,8.541667,8.375000,8.541667,5.017295,54000
1996-10-15,8.562500,8.666667,8.500000,8.625000,5.066245,52800
1996-10-16,8.666667,8.916667,8.666667,8.916667,5.237566,58800
1996-10-17,8.958333,9.083333,8.958333,9.083333,5.335465,53400
1996-10-18,9.083333,9.125000,9.041667,9.104167,5.347700,59400
1996-10-21,9.125000,9.166667,9.083333,9.145833,5.372177,41400
1996-10-22,9.166667,9.166667,9.125000,9.125000,5.359941,27600
1996-10-23,9.125000,9.125000,9.083333,9.104167,5.347700,36600
1996-10-24,9.104167,9.104167,9.083333,9.104167,5.347700,13200
1996-10-25,9.125000,9.125000,9.062500,9.083333,5.335465,40800
1996-10-28,9.125000,9.333333,9.062500,9.291667,5.457836,109200
1996-10-29,9.333333,9.333333,9.291667,9.312500,5.470073,24000
1996-10-30,9.333333,9.333333,9.291667,9.333333,5.482312,47400
1996-10-31,9.333333,9.375000,9.333333,9.375000,5.506788,24600
1996-11-01,9.375000,9.416667,9.333333,9.375000,5.506788,45600
1996-11-04,9.375000,9.375000,9.354167,9.375000,5.506788,27600
1996-11-05,9.416667,9.458333,9.375000,9.416667,5.531261,25800
1996-11-06,9.437500,9.500000,9.395833,9.416667,5.531261,39600
1996-11-07,9.375000,9.416667,9.375000,9.416667,5.531261,79200
1996-11-08,9.416667,9.541667,9.416667,9.541667,5.604687,132600
1996-11-11,9.541667,9.770833,9.541667,9.770833,5.739295,45600
1996-11-12,9.833333,9.895833,9.812500,9.854167,5.788244,50400
1996-11-13,9.895833,10.000000,9.854167,9.979167,5.861667,69600
1996-11-14,10.000000,10.125000,9.958333,10.041667,5.898380,111600
1996-11-15,10.083333,10.104167,10.041667,10.062500,5.910618,82800
1996-11-18,10.083333,10.312500,10.062500,10.291667,6.045230,87600
1996-11-19,10.250000,10.250000,10.000000,10.000000,5.873907,54000
1996-11-20,10.041667,10.041667,9.958333,9.979167,5.861667,35400
1996-11-21,10.000000,10.041667,9.979167,9.979167,5.861667,13800
1996-11-22,9.979167,10.000000,9.916667,9.958333,5.849431,46800
1996-11-25,9.916667,10.083333,9.916667,9.958333,5.849431,102000
1996-11-26,9.833333,9.833333,9.416667,9.416667,5.573235,168000
1996-11-27,9.458333,9.520833,9.416667,9.458333,5.597896,82800
1996-11-29,9.500000,9.500000,9.458333,9.458333,5.597896,30600
