Date,Open,High,Low,Close,Adj Close,Volume
1996-07-26,9.375000,9.375000,9.375000,9.375000,9.375000,500
1996-07-29,9.375000,9.375000,9.375000,9.375000,9.375000,2000
1996-07-30,9.375000,9.625000,9.375000,9.625000,9.625000,1900
1996-07-31,9.500000,9.500000,9.000000,9.500000,9.500000,5000
1996-08-01,9.500000,9.500000,9.500000,9.500000,9.500000,0
1996-08-02,9.187500,9.187500,9.187500,9.187500,9.187500,2900
1996-08-05,8.750000,8.750000,8.500000,8.500000,8.500000,6000
1996-08-06,8.875000,9.250000,8.500000,9.250000,9.250000,4100
1996-08-07,9.250000,9.250000,9.250000,9.250000,9.250000,0
1996-08-08,9.125000,9.125000,8.875000,9.000000,9.000000,15600
1996-08-09,9.000000,9.000000,9.000000,9.000000,9.000000,1400
1996-08-12,9.000000,9.000000,9.000000,9.000000,9.000000,0
1996-08-13,9.000000,9.000000,9.000000,9.000000,9.000000,0
1996-08-14,8.625000,9.375000,8.625000,9.375000,9.375000,900
1996-08-15,9.375000,9.375000,9.375000,9.375000,9.375000,0
1996-08-16,9.375000,9.375000,9.375000,9.375000,9.375000,0
1996-08-19,9.375000,9.375000,9.375000,9.375000,9.375000,0
1996-08-20,9.375000,9.375000,8.625000,9.000000,9.000000,3300
1996-08-21,8.500000,8.500000,8.500000,8.500000,8.500000,4000
1996-08-22,8.500000,9.125000,8.500000,9.125000,9.125000,4100
1996-08-23,8.250000,8.375000,8.250000,8.375000,8.375000,1100
1996-08-26,8.500000,8.500000,8.500000,8.500000,8.500000,8800
1996-08-27,8.500000,8.500000,8.500000,8.500000,8.500000,4000
1996-08-28,8.500000,8.500000,8.500000,8.500000,8.500000,4900
1996-08-29,8.500000,8.500000,8.500000,8.500000,8.500000,0
1996-08-30,8.500000,9.000000,8.500000,9.000000,9.000000,1100
1996-09-03,9.000000,9.000000,9.000000,9.000000,9.000000,0
1996-09-04,8.875000,9.000000,8.875000,9.000000,9.000000,9900
1996-09-05,8.500000,8.500000,8.500000,8.500000,8.500000,200
